victim_seed,oracle_seed,victim_q_unchanged,victim_clock_unchanged,frozen_profit,adaptive_profit,frozen_victim_profit,adaptive_victim_profit,frozen_market_price,adaptive_market_price,frozen_profit_asymmetry,adaptive_profit_asymmetry
0,1.0,1.0,1.0,0.31934351252037513,0.27543499791125453,0.24220808948382425,0.24550399650855817,1.6394606812545618,1.587779480277043,0.07713542303655088,0.02993100140269636
1,1.0,1.0,1.0,0.2462691688559846,0.24415097346089573,0.2541974956129109,0.2762084375198982,1.5495065966092259,1.5940575162110229,-0.007928326756926285,-0.03205746405900248
2,1.0,1.0,1.0,0.28284766153251334,0.26138344517541634,0.24584295012206878,0.2516249074273122,1.6184654705167436,1.5933988243608426,0.03700471141044456,0.009758537748104146
3,1.0,1.0,1.0,0.302573341946234,0.2441166625826154,0.2198383003170602,0.24968903741265078,1.628141807648974,1.5901049422907334,0.08273504162917378,-0.005572374830035365
4,1.0,1.0,1.0,0.29570047879008216,0.25080961449991446,0.21114215567948605,0.23398637229615513,1.6091470998817432,1.5572523372036715,0.0845583231105961,0.01682324220375933
5,1.0,1.0,1.0,0.2853626293055972,0.2777645457145474,0.21676783752917417,0.22356078030507906,1.5753352297284744,1.5886639130718798,0.06859479177642303,0.054203765409468335
6,1.0,1.0,1.0,0.31753554079937746,0.2652417783966133,0.2519157578899111,0.2458574870212081,1.6475892126863407,1.577743951457035,0.06561978290946635,0.019384291375405177
7,1.0,1.0,1.0,0.25167008052347223,0.2512283452848593,0.24961022684063452,0.24761900818496685,1.541745290914447,1.557241563560441,0.0020598536828377034,0.0036093370998924734
8,1.0,1.0,1.0,0.3776178022112128,0.2454799396327645,0.2153788762592271,0.2566453441684005,1.757984811002492,1.5828953906804737,0.16223892595198572,-0.011165404535636025
9,1.0,1.0,1.0,0.32627495964139236,0.2505489422857192,0.24050788482416993,0.2627189358008844,1.698269388276256,1.5891493990755539,0.08576707481722243,-0.012169993515165178
