seed,terminal_state,terminal_greedy_action,cycle_length,symmetric_profit,market_price,terminal_selected_q,q_mean,q_sd
0,130,10,1,0.3204944373194397,1.7764488053505032,5.739027379037718,5.5099840718878355,0.10572007680697909
1,95,13,3,0.30669767883108384,1.737714859065181,6.051533737143227,5.592406309522165,0.09962431401780136
2,177,12,1,0.3352302301125859,1.8733175751335542,6.3341687388620045,5.597357267785044,0.16304291711360844
3,143,8,1,0.31782899390162433,1.7570750513940605,6.68618514751016,5.556628172270446,0.17259662611943566
4,157,12,2,0.32463869091232056,1.8151963132637512,6.780449375043872,5.628747466729946,0.15112375433932443
5,130,7,2,0.31219789670909726,1.7377012974373862,5.91287340105634,5.632845585664052,0.07569193670864675
6,129,9,1,0.31782899390162433,1.7570750513940605,6.0269746085546725,5.601789671737573,0.13613014325944756
7,130,6,3,0.31823120210555,1.7764410558489594,6.114037210174914,5.444050758229228,0.16616864540419748
8,130,10,1,0.3204944373194397,1.7764488053505032,5.739027379037718,5.5702003991097575,0.11373837213638634
9,175,10,1,0.3313179258931087,1.8345700672203353,6.985663231839778,5.686007503495667,0.184179254642584
