seed,symmetric_profit,market_price,price_agent_0,price_agent_1,profit_agent_0,profit_agent_1,cycle_length,consumer_surplus,joint_profit,total_welfare
0,0.3204944373194397,1.7764488053505032,1.7377012974373955,1.8151963132636109,0.35403750568697195,0.28695136895190754,1,0.4458327377773162,0.6409888746388794,1.0868216124161956
1,0.30669767883108384,1.737714859065181,1.7377090469389593,1.7377206711914026,0.31044237352547127,0.3029529841366964,3,0.47591435765488377,0.6133953576621677,1.0893097153170515
2,0.3352302301125859,1.8733175751335542,1.8539438211770598,1.8926913290900487,0.35375202328211447,0.31670843694305734,1,0.3663734888213146,0.6704604602251718,1.0368339490464864
3,0.31782899390162433,1.7570750513940605,1.7764488053507255,1.7377012974373955,0.3013487304277664,0.3343092573754823,1,0.4601668305090311,0.6356579878032487,1.0958248183122798
4,0.32463869091232056,1.8151963132637512,1.8345700672203265,1.795822559307176,0.30966770170909047,0.3396096801155507,2,0.4122206189058905,0.6492773818246411,1.0614980007305317
5,0.31219789670909726,1.7377012974373862,1.718327543480826,1.7570750513939464,0.3289694308928656,0.29542636252532894,2,0.4765642233165069,0.6243957934181945,1.1009600167347013
6,0.31782899390162433,1.7570750513940605,1.7377012974373955,1.7764488053507255,0.3343092573754823,0.3013487304277664,1,0.4601668305090311,0.6356579878032487,1.0958248183122798
7,0.31823120210555,1.7764410558489594,1.7635303862122695,1.7893517254856495,0.3315265917761986,0.3049358124349015,3,0.44363025984940313,0.6364624042111,1.080092664060503
8,0.3204944373194397,1.7764488053505032,1.7377012974373955,1.8151963132636109,0.35403750568697195,0.28695136895190754,1,0.4458327377773162,0.6409888746388794,1.0868216124161956
9,0.3313179258931087,1.8345700672203353,1.8539438211770598,1.8151963132636109,0.3133526901941388,0.34928316159207856,1,0.39669019046222675,0.6626358517862174,1.0593260422484443
